iter	MultiClass
0	1.712805021
1	1.563070637
2	1.439591291
3	1.330584248
4	1.241103676
5	1.166891036
6	1.105501589
7	1.051893178
8	1.00903127
9	0.9680608197
10	0.9285992084
11	0.893366201
12	0.8638512609
13	0.8404918551
14	0.8160273913
15	0.7997959966
16	0.7827557251
17	0.7587851186
18	0.7370125599
19	0.7222263076
20	0.7049303052
21	0.6891998184
22	0.6722537466
23	0.6588957847
24	0.6480708214
25	0.6361838996
26	0.6255129106
27	0.6172588419
28	0.6083184145
29	0.5991750888
30	0.5896885481
31	0.578718269
32	0.5723069061
33	0.5630538334
34	0.5568081204
35	0.5480022334
36	0.5419350355
37	0.5366058859
38	0.529786557
39	0.5258488443
40	0.5216968555
41	0.5188107749
42	0.5123758826
43	0.5096789683
44	0.5029302531
45	0.4979420539
46	0.4944379514
47	0.4902673433
48	0.4845344263
49	0.4805393901
50	0.4764556404
51	0.4726174675
52	0.4701569207
53	0.4667038181
54	0.4633572277
55	0.4616563997
56	0.4596991363
57	0.4562516287
58	0.4529194164
59	0.4505224646
60	0.4484916741
61	0.4454898873
62	0.4434131789
63	0.4406380855
64	0.4390759988
65	0.437130421
66	0.4334567166
67	0.4317267833
68	0.429883153
69	0.4279146244
70	0.4258257309
71	0.424460272
72	0.4221029032
73	0.4206674842
74	0.4178530413
75	0.4156967186
76	0.414044132
77	0.4124591275
78	0.4117829023
79	0.4107770549
80	0.4095409603
81	0.4078934238
82	0.4063830239
83	0.4040737733
84	0.4029264358
85	0.4020134808
86	0.4011117075
87	0.3992325993
88	0.3981452401
89	0.3966664023
90	0.3954330553
91	0.3946463262
92	0.3933030623
93	0.3924847944
94	0.3912700823
95	0.3900567481
96	0.3891153382
97	0.3881075309
98	0.3874051794
99	0.3862905857
100	0.3848524887
101	0.3836245676
102	0.3819558152
103	0.3809790925
104	0.3800407389
105	0.3788054014
106	0.3780472321
107	0.3771585484
108	0.3761999601
109	0.375171328
110	0.3741154273
111	0.3732096724
112	0.3722535925
113	0.3715094584
114	0.3705736554
115	0.3699876835
116	0.3694145107
117	0.3679860217
118	0.3669548681
119	0.3657763928
120	0.3650904487
121	0.364718547
122	0.3637038428
123	0.3628065156
124	0.3614760008
125	0.3603730981
126	0.3595120628
127	0.3587057551
128	0.3581343343
129	0.3570360249
130	0.3561458502
131	0.3552940687
132	0.3545165938
133	0.3539594053
134	0.3534013212
135	0.3528921959
136	0.3518856876
137	0.3509638147
138	0.3502156908
139	0.3495339755
140	0.3491150175
141	0.3483160988
142	0.347776941
143	0.3469888623
144	0.3459716271
145	0.3454088766
146	0.344765882
147	0.3440441569
148	0.3437577878
149	0.3430481198
150	0.3421086261
151	0.3411362705
152	0.3403786982
153	0.339800095
154	0.3390114785
155	0.3381140318
156	0.3378563532
157	0.3375626906
158	0.3367885489
159	0.3362652174
160	0.3356472091
161	0.3352333006
162	0.334706259
163	0.3342168239
164	0.333936672
165	0.3330917263
166	0.3324922468
167	0.3317815694
168	0.3313042626
169	0.3306910013
170	0.3301774082
171	0.3296729549
172	0.3292596127
173	0.3286174384
174	0.3283340938
175	0.3279359647
176	0.3274881669
177	0.3270855138
178	0.3266714222
179	0.3262185626
180	0.3253911006
181	0.3248914664
182	0.3244180895
183	0.323887739
184	0.3234589144
185	0.3230019214
186	0.3226252181
187	0.3223200399
188	0.3217129979
189	0.3211642758
190	0.3207513414
191	0.3202118931
192	0.319668284
193	0.3190975312
194	0.3184290683
195	0.3178034413
196	0.317159086
197	0.3167434608
198	0.3162288665
199	0.3157803437
200	0.3155407878
201	0.3154110844
202	0.3150244639
203	0.3144986635
204	0.3140736918
205	0.3134102098
206	0.3128755814
207	0.3125863969
208	0.3120155024
209	0.3115380615
210	0.3110716257
211	0.310713102
212	0.3103781657
213	0.3099784191
214	0.3094227883
215	0.309090474
216	0.3085217173
217	0.3081683658
218	0.307785883
219	0.3074104557
220	0.3070672875
221	0.3066857873
222	0.3064726295
223	0.3062340016
224	0.3059110321
225	0.3054311738
226	0.3052832092
227	0.3047763212
228	0.3045360932
229	0.3038396348
230	0.3035254596
231	0.3032499387
232	0.3028710504
233	0.3023787119
234	0.3017985525
235	0.3015497607
236	0.3010645402
237	0.3009144787
238	0.300480436
239	0.3000005096
240	0.2997175865
241	0.2992557463
242	0.2989933696
243	0.2986842033
244	0.2984468393
245	0.2980986583
246	0.2975365428
247	0.2972329428
248	0.2967407813
249	0.2964200319
250	0.2961395079
251	0.2959386483
252	0.2955390661
253	0.2952965962
254	0.2948007921
255	0.2945596764
256	0.2943846808
257	0.2941027185
258	0.2938410587
259	0.2935838768
260	0.2934144117
261	0.2928140464
262	0.2925630573
263	0.2924655703
264	0.2920309205
265	0.2914676618
266	0.2911611235
267	0.2907490123
268	0.2904965814
269	0.2902238628
270	0.289957646
271	0.2897824752
272	0.2893663066
273	0.2889186363
274	0.2885705413
275	0.2879792268
276	0.2877902854
277	0.2875963997
278	0.2871534588
279	0.2867901283
280	0.2865102555
281	0.2859633199
282	0.2857637035
283	0.2854323576
284	0.2849742433
285	0.2845172654
286	0.2839150636
287	0.2836697605
288	0.2833950241
289	0.283125548
290	0.2827343686
291	0.282226087
292	0.2818029154
293	0.281590491
294	0.2811640709
295	0.2809390101
296	0.2807585566
297	0.2805781271
298	0.2803968159
299	0.2800236018
300	0.279837981
301	0.2793362015
302	0.2791358058
303	0.2787834061
304	0.2783181047
305	0.2780750204
306	0.2777507338
307	0.2773695884
308	0.2769736533
309	0.276709313
310	0.2763386076
311	0.2761717594
312	0.2757404978
313	0.2756381101
314	0.2751678252
315	0.2749866237
316	0.2746616524
317	0.2745156706
318	0.2742653614
319	0.2741278703
320	0.2739714851
321	0.2736435338
322	0.2733754036
323	0.2730280829
324	0.2726591179
325	0.2723517066
326	0.2721149549
327	0.2718651529
328	0.2716466395
329	0.2713212871
330	0.2709087676
331	0.2706701925
332	0.2702526959
333	0.2699712872
334	0.2697879914
335	0.2695480103
336	0.2692552191
337	0.2689422131
338	0.2686352515
339	0.2685130977
340	0.2682306056
341	0.2680677938
342	0.2678913212
343	0.2674551319
344	0.2672079666
345	0.266754325
346	0.2662924268
347	0.2660263501
348	0.2657348319
349	0.2654229761
350	0.2651207424
351	0.2647732114
352	0.2645199547
353	0.2641976816
354	0.2640599183
355	0.2636992813
356	0.263476158
357	0.263253125
358	0.2629859158
359	0.2627461677
360	0.2624748523
361	0.2621766651
362	0.2618014688
363	0.2615960247
364	0.2611745765
365	0.2608838137
366	0.2605824138
367	0.2602894539
368	0.2600692835
369	0.2597697627
370	0.2596663064
371	0.2595085491
372	0.2593546589
373	0.2590071417
374	0.2588563354
375	0.2584157071
376	0.258136326
377	0.2578614823
378	0.2577442693
379	0.2576012506
380	0.257433316
381	0.2573236711
382	0.2571718084
383	0.2570730764
384	0.2567758465
385	0.2564375638
386	0.2561060447
387	0.2559328114
388	0.255744854
389	0.2554216556
390	0.2550988895
391	0.2548958746
392	0.2546806785
393	0.2544419975
394	0.2540764958
395	0.2537640816
396	0.2535114474
397	0.2532734827
398	0.2529007342
399	0.2526840431
400	0.2524002664
401	0.252137166
402	0.2519382097
403	0.2516596269
404	0.2512433154
405	0.2511378849
406	0.2508689554
407	0.2506331571
408	0.2503359908
409	0.2500615694
410	0.2499170595
411	0.2496743191
412	0.2494510008
413	0.2492345962
414	0.2488411965
415	0.2486521378
416	0.2484723661
417	0.2482469638
418	0.2479736113
419	0.2476824894
420	0.247475542
421	0.2473079627
422	0.2471254406
423	0.2468388878
424	0.2465102829
425	0.2462782197
426	0.2459372182
427	0.2457475881
428	0.2454436973
429	0.2452724759
430	0.2450068859
431	0.2446657243
432	0.2444431267
433	0.2442388376
434	0.2439116016
435	0.2437468113
436	0.2435811322
437	0.2433257663
438	0.2432321533
439	0.2429526821
440	0.2427088712
441	0.24260113
442	0.2424708897
443	0.2420462085
444	0.2418965032
445	0.2417463796
446	0.2414240445
447	0.2412222967
448	0.240921258
449	0.2406219175
450	0.2403557089
451	0.2402005209
452	0.2399473548
453	0.2396465645
454	0.2394759555
455	0.2392486054
456	0.2389410978
457	0.2386999357
458	0.2383595324
459	0.2381602027
460	0.2378692325
461	0.2376380048
462	0.2373435537
463	0.2370725358
464	0.2368569081
465	0.2365862777
466	0.2364140632
467	0.2362874545
468	0.2360558572
469	0.2359584796
470	0.2355419847
471	0.2353415007
472	0.2351641078
473	0.2348113965
474	0.2345786041
475	0.234441375
476	0.2341831275
477	0.2338448707
478	0.2337165914
479	0.2333174027
480	0.2331337347
481	0.232749429
482	0.2323919393
483	0.2322589365
484	0.2320602365
485	0.2317656197
486	0.2315533082
487	0.2312598682
488	0.2311606957
489	0.2309421795
490	0.2308088507
491	0.2305454159
492	0.2303850008
493	0.2301995458
494	0.2300979357
495	0.2299232673
496	0.2295732409
497	0.2294799613
498	0.2293341913
499	0.2289997294
500	0.2288415212
501	0.2287481218
502	0.2285285365
503	0.2282836535
504	0.2280742507
505	0.2278995752
506	0.2275668997
507	0.2273895989
508	0.2271151197
509	0.2269733061
510	0.2268221046
511	0.22671842
512	0.2265504728
513	0.2263655242
514	0.226187424
515	0.2260018207
516	0.2257994673
517	0.2255830693
518	0.2254098025
519	0.2251860771
520	0.225137143
521	0.2249806115
522	0.2249054965
523	0.2247330745
524	0.2245878084
525	0.2244860146
526	0.2242832323
527	0.224236661
528	0.2241039624
529	0.2238086359
530	0.2234500367
531	0.2233296927
532	0.2231976243
533	0.223038131
534	0.2228761019
535	0.2226897497
536	0.2225281343
537	0.2223854934
538	0.2222315029
539	0.2219746947
540	0.2218810416
541	0.2217450145
542	0.2216173939
543	0.2214787161
544	0.2213686929
545	0.2211497181
546	0.2210766764
547	0.2209879537
548	0.2207252585
549	0.2205728171
550	0.2203876328
551	0.2202295181
552	0.2201306453
553	0.2199230132
554	0.2197938119
555	0.2195290856
556	0.2193247087
557	0.2190836958
558	0.2190240009
559	0.2188899914
560	0.2187399841
561	0.2185267182
562	0.2183372126
563	0.2181429542
564	0.2180790284
565	0.2179621957
566	0.2178083149
567	0.2175657803
568	0.2174882534
569	0.2172776439
570	0.2170282221
571	0.2167448179
572	0.2165346745
573	0.2163492425
574	0.216132826
575	0.2160475691
576	0.2159443794
577	0.2158268164
578	0.2156656038
579	0.2154206482
580	0.21517516
581	0.2149685187
582	0.2147656065
583	0.214689233
584	0.2145519161
585	0.214349142
586	0.2141348322
587	0.2139439483
588	0.213715584
589	0.2135940882
590	0.2134790412
591	0.2132856194
592	0.2129603015
593	0.2127061176
594	0.2125060315
595	0.2122511359
596	0.2121262246
597	0.2119136004
598	0.211751617
599	0.211645042
600	0.2113998081
601	0.2112260736
602	0.2110039113
603	0.2107618423
604	0.2106794573
605	0.2105636933
606	0.2104519268
607	0.2102478936
608	0.2100170463
609	0.2098523499
610	0.2095765402
611	0.2095117212
612	0.209433471
613	0.2093207476
614	0.2091405377
615	0.2089192269
616	0.2087587475
617	0.2086093139
618	0.2085441511
619	0.2084710851
620	0.208331233
621	0.2080886751
622	0.2079557615
623	0.2077489235
624	0.2075000641
625	0.2072493058
626	0.207171135
627	0.2070143662
628	0.2067868014
629	0.2065931934
630	0.2064900438
631	0.2063571898
632	0.2060667983
633	0.2058785564
634	0.2057376635
635	0.2056557792
636	0.2055230626
637	0.2053285658
638	0.2051529665
639	0.204903768
640	0.2047852645
641	0.2045658277
642	0.2044845697
643	0.2043362695
644	0.2041500291
645	0.2040202264
646	0.2038198504
647	0.2036272125
648	0.2034440351
649	0.2031944193
650	0.2030337593
651	0.2028203109
652	0.2026146899
653	0.2024221138
654	0.2023005479
655	0.2021330993
656	0.2019691068
657	0.2017325786
658	0.2015515664
659	0.201411761
660	0.2013197605
661	0.2012178258
662	0.2011214883
663	0.2009390658
664	0.2007389916
665	0.2005718771
666	0.2004972911
667	0.200401437
668	0.20024064
669	0.2000713897
670	0.1998342211
671	0.1996675546
672	0.1995614001
673	0.1994354991
674	0.1991859789
675	0.199027262
676	0.198937645
677	0.1988418281
678	0.198690409
679	0.1984515818
680	0.1983236787
681	0.1981082139
682	0.1978924706
683	0.1977161188
684	0.1975449951
685	0.1972431101
686	0.1969399478
687	0.1968593323
688	0.1967535729
689	0.1966160996
690	0.1963887608
691	0.1962367899
692	0.1960408997
693	0.1958492803
694	0.195646263
695	0.1954992356
696	0.1953708318
697	0.1952475935
698	0.1951380638
699	0.1950285422
700	0.194883392
701	0.1946979508
702	0.1945231488
703	0.1943263532
704	0.1941994959
705	0.1940227882
706	0.1939459389
707	0.1938370436
708	0.1936840193
709	0.1935663275
710	0.1935094723
711	0.1933933204
712	0.1933547326
713	0.1933202569
714	0.1932063895
715	0.1931018336
716	0.1930066021
717	0.1928300539
718	0.192718713
719	0.192506385
720	0.192426599
721	0.192258744
722	0.1921700849
723	0.1920062287
724	0.1917885082
725	0.1915840539
726	0.1915101949
727	0.1912818825
728	0.1912180552
729	0.1909949462
730	0.1909304531
731	0.1906950307
732	0.1906263771
733	0.1905440785
734	0.190385764
735	0.1903127513
736	0.1901881591
737	0.1901239532
738	0.1899981773
739	0.1898509466
740	0.1897345241
741	0.1896750564
742	0.1895331445
743	0.1894447647
744	0.1893364601
745	0.1892545186
746	0.18906831
747	0.1888277763
748	0.1887223675
749	0.1886276567
750	0.1884673798
751	0.1883539804
752	0.1883152924
753	0.1882166144
754	0.188064432
755	0.1878567038
756	0.1878027153
757	0.1875882068
758	0.1874498478
759	0.1873163968
760	0.1871195346
761	0.1869688346
762	0.1868143862
763	0.1866554804
764	0.1865419152
765	0.1863398835
766	0.186251853
767	0.1861318309
768	0.1860642763
769	0.1858339549
770	0.1856468011
771	0.1854804297
772	0.1853596869
773	0.1851836556
774	0.1850062059
775	0.1848584034
776	0.184738942
777	0.1845104509
778	0.1844223176
779	0.1841817636
780	0.1840641485
781	0.183969773
782	0.1838233173
783	0.1836902733
784	0.1835672115
785	0.1834492627
786	0.1833351126
787	0.1830994522
788	0.1829908449
789	0.1828396633
790	0.182703232
791	0.1825321386
792	0.1824545865
793	0.1822645989
794	0.1821393504
795	0.1820217513
796	0.1818643243
797	0.181730634
798	0.1815727439
799	0.1814481688
800	0.1813603104
801	0.1812048145
802	0.1811347725
803	0.1810033218
804	0.1808300557
805	0.1807086057
806	0.1805499304
807	0.1803890001
808	0.1802566577
809	0.1800637388
810	0.1798808415
811	0.1796717503
812	0.1795157759
813	0.1794034086
814	0.1792615392
815	0.1791703105
816	0.1791017574
817	0.1790147741
818	0.1789688896
819	0.1788984604
820	0.1787986838
821	0.1786158537
822	0.1785027222
823	0.1783635819
824	0.1781515798
825	0.1779672218
826	0.177909085
827	0.1778303999
828	0.1777238467
829	0.1776289405
830	0.1774575948
831	0.1773859103
832	0.1772713167
833	0.1771503375
834	0.1770348474
835	0.1768375337
836	0.1767753578
837	0.1766822075
838	0.1764986784
839	0.1763486126
840	0.1761859528
841	0.1760743583
842	0.1759368111
843	0.1758110972
844	0.1756868462
845	0.17558917
846	0.1754571688
847	0.175423806
848	0.1752934067
849	0.1751526962
850	0.1749690393
851	0.1747536568
852	0.1746630465
853	0.1745073895
854	0.174454558
855	0.1743728166
856	0.1742992889
857	0.1741313455
858	0.1740644659
859	0.1738904542
860	0.1738264029
861	0.1736181878
862	0.173356446
863	0.1732487055
864	0.1731530793
865	0.1729645528
866	0.1728363995
867	0.1727380615
868	0.1726323851
869	0.1724618792
870	0.1723948937
871	0.1723385527
872	0.1722678868
873	0.1721775332
874	0.1720013831
875	0.1718434032
876	0.1717701463
877	0.1717323395
878	0.1716692969
879	0.1715806426
880	0.171514532
881	0.1713356545
882	0.1711986988
883	0.1710774348
884	0.1709307528
885	0.1708556285
886	0.170802526
887	0.1707089262
888	0.1706218616
889	0.1704566849
890	0.1703360367
891	0.1702621872
892	0.170164019
893	0.170043522
894	0.1699744367
895	0.1698738965
896	0.16977234
897	0.1697407116
898	0.1696464107
899	0.1696009848
900	0.1693945915
901	0.1692800676
902	0.169179292
903	0.1690649561
904	0.1689595479
905	0.1688006828
906	0.1686932415
907	0.1684970721
908	0.1683638116
909	0.168195105
910	0.168080825
911	0.1679254575
912	0.1678001505
913	0.1676334225
914	0.1674841305
915	0.1673916481
916	0.1672537957
917	0.167214269
918	0.1671424062
919	0.1670805371
920	0.167014754
921	0.166960384
922	0.1668470743
923	0.1667846981
924	0.1666116838
925	0.1664317473
926	0.1663219422
927	0.1662043366
928	0.1660994187
929	0.1660369188
930	0.1659415593
931	0.1658154681
932	0.1656930945
933	0.1655569355
934	0.1655009696
935	0.1654419233
936	0.165363217
937	0.1652410744
938	0.1651028018
939	0.1649966811
940	0.1648306623
941	0.1647207512
942	0.1645013525
943	0.1643539785
944	0.1641651453
945	0.1640312581
946	0.1638630464
947	0.1637433057
948	0.1636847271
949	0.1635748888
950	0.1635304053
951	0.1634826606
952	0.1634306773
953	0.1632744328
954	0.1630939452
955	0.1630427089
956	0.1629554107
957	0.1628680751
958	0.1627386522
959	0.1626053822
960	0.1624879532
961	0.1623939769
962	0.1623143971
963	0.1622215685
964	0.1621469403
965	0.1620460644
966	0.1619345429
967	0.1618445259
968	0.1617169104
969	0.1616144227
970	0.1615345848
971	0.161323079
972	0.1611672368
973	0.1610587648
974	0.1610086901
975	0.1608229391
976	0.1607047347
977	0.1605652042
978	0.1604243674
979	0.1603668682
980	0.160253743
981	0.1601603779
982	0.1600023314
983	0.1599252308
984	0.1598244657
985	0.1596864796
986	0.1596050907
987	0.1594978157
988	0.1593702398
989	0.1592384856
990	0.1591482815
991	0.1589697683
992	0.1589119742
993	0.1587944657
994	0.1586470186
995	0.1585402468
996	0.1584568157
997	0.158268323
998	0.1581859837
999	0.1580841675
