iter	Passed	Remaining
0	84	84513
1	105	52579
2	126	41903
3	150	37561
4	172	34372
5	193	32107
6	214	30366
7	234	29036
8	253	27907
9	273	27065
10	292	26262
11	310	25595
12	329	25042
13	348	24554
14	367	24155
15	387	23834
16	406	23505
17	430	23477
18	468	24185
19	495	24292
20	532	24834
21	568	25283
22	618	26283
23	658	26776
24	703	27426
25	747	27988
26	771	27797
27	794	27583
28	821	27495
29	871	28162
30	900	28134
31	924	27974
32	950	27860
33	1005	28578
34	1048	28920
35	1092	29254
36	1139	29648
37	1177	29821
38	1197	29514
39	1216	29206
40	1237	28942
41	1256	28667
42	1277	28432
43	1297	28186
44	1317	27962
45	1337	27738
46	1356	27498
47	1376	27298
48	1397	27116
49	1416	26913
50	1436	26722
51	1456	26544
52	1475	26370
53	1498	26251
54	1519	26104
55	1538	25931
56	1557	25765
57	1577	25617
58	1597	25485
59	1616	25323
60	1635	25174
61	1654	25033
62	1674	24902
63	1695	24791
64	1713	24646
65	1732	24513
66	1752	24406
67	1772	24287
68	1791	24175
69	1814	24108
70	1838	24050
71	1859	23968
72	1882	23907
73	1905	23845
74	1929	23792
75	1952	23736
76	1976	23687
77	1999	23638
78	2021	23571
79	2044	23516
80	2065	23438
81	2086	23358
82	2106	23271
83	2127	23196
84	2147	23112
85	2165	23019
86	2184	22928
87	2205	22860
88	2225	22780
89	2244	22698
90	2264	22616
91	2283	22539
92	2304	22479
93	2324	22408
94	2344	22335
95	2363	22260
96	2382	22181
97	2401	22107
98	2436	22176
99	2456	22108
100	2475	22031
101	2496	21982
102	2517	21922
103	2537	21864
104	2558	21807
105	2578	21748
106	2598	21684
107	2617	21614
108	2636	21548
109	2658	21513
110	2682	21480
111	2703	21438
112	2726	21399
113	2747	21354
114	2769	21315
115	2790	21265
116	2810	21207
117	2831	21160
118	2850	21101
119	2870	21049
120	2889	20992
121	2908	20933
122	2929	20885
123	2950	20846
124	2971	20798
125	2991	20748
126	3012	20709
127	3033	20664
128	3052	20612
129	3072	20564
130	3094	20524
131	3115	20485
132	3136	20445
133	3157	20406
134	3178	20365
135	3198	20320
136	3218	20274
137	3237	20223
138	3257	20176
139	3277	20133
140	3298	20092
141	3318	20050
142	3337	20001
143	3356	19952
144	3377	19916
145	3396	19869
146	3416	19826
147	3437	19789
148	3460	19763
149	3483	19739
150	3507	19721
151	3531	19701
152	3553	19673
153	3576	19650
154	3599	19621
155	3619	19584
156	3640	19546
157	3660	19505
158	3681	19470
159	3702	19437
160	3723	19402
161	3744	19368
162	3764	19330
163	3785	19296
164	3806	19261
165	3828	19234
166	3849	19203
167	3871	19171
168	3892	19140
169	3916	19122
170	3940	19101
171	3964	19082
172	3987	19060
173	4010	19037
174	4033	19013
175	4056	18990
176	4078	18963
177	4098	18926
178	4120	18899
179	4141	18868
180	4163	18840
181	4184	18808
182	4205	18777
183	4228	18750
184	4249	18720
185	4271	18692
186	4291	18655
187	4311	18622
188	4332	18592
189	4354	18563
190	4376	18535
191	4398	18512
192	4419	18478
193	4440	18449
194	4460	18414
195	4484	18396
196	4506	18369
197	4528	18341
198	4548	18309
199	4568	18275
200	4588	18241
201	4609	18208
202	4631	18183
203	4653	18157
204	4674	18128
205	4697	18105
206	4719	18080
207	4741	18055
208	4764	18031
209	4786	18006
210	4809	17982
211	4831	17957
212	4853	17933
213	4876	17912
214	4897	17882
215	4921	17861
216	4944	17842
217	4967	17820
218	4995	17814
219	5017	17789
220	5041	17770
221	5063	17746
222	5085	17721
223	5107	17695
224	5132	17677
225	5156	17659
226	5179	17637
227	5201	17613
228	5222	17584
229	5244	17556
230	5264	17526
231	5284	17493
232	5305	17465
233	5325	17434
234	5346	17404
235	5367	17377
236	5390	17355
237	5413	17331
238	5436	17309
239	5458	17285
240	5480	17260
241	5503	17238
242	5527	17218
243	5549	17195
244	5572	17171
245	5593	17144
246	5613	17114
247	5635	17088
248	5657	17064
249	5680	17042
250	5703	17018
251	5725	16994
252	5747	16968
253	5768	16942
254	5790	16916
255	5811	16888
256	5831	16860
257	5853	16833
258	5876	16814
259	5897	16784
260	5916	16752
261	5937	16724
262	5956	16692
263	5977	16665
264	5997	16635
265	6017	16605
266	6038	16578
267	6059	16550
268	6079	16521
269	6100	16493
270	6121	16467
271	6142	16440
272	6163	16413
273	6183	16384
274	6203	16355
275	6225	16331
276	6245	16301
277	6264	16269
278	6286	16244
279	6306	16216
280	6325	16186
281	6346	16159
282	6366	16129
283	6385	16098
284	6405	16069
285	6425	16041
286	6446	16015
287	6465	15985
288	6487	15959
289	6509	15937
290	6531	15913
291	6553	15890
292	6575	15866
293	6595	15838
294	6617	15815
295	6638	15788
296	6660	15764
297	6679	15736
298	6700	15709
299	6721	15683
300	6741	15656
301	6762	15630
302	6783	15603
303	6804	15579
304	6826	15555
305	6847	15529
306	6868	15504
307	6888	15476
308	6909	15452
309	6928	15422
310	6948	15394
311	6968	15365
312	6990	15343
313	7012	15319
314	7033	15294
315	7053	15268
316	7076	15246
317	7097	15222
318	7119	15198
319	7139	15171
320	7160	15146
321	7181	15120
322	7201	15093
323	7222	15069
324	7246	15050
325	7270	15030
326	7293	15010
327	7318	14993
328	7341	14972
329	7363	14951
330	7384	14925
331	7404	14897
332	7424	14870
333	7443	14843
334	7464	14816
335	7485	14793
336	7507	14769
337	7529	14747
338	7567	14755
339	7598	14749
340	7636	14757
341	7678	14773
342	7714	14776
343	7751	14782
344	7795	14799
345	7842	14823
346	7886	14841
347	7926	14851
348	7969	14865
349	8011	14877
350	8055	14893
351	8099	14909
352	8139	14918
353	8165	14901
354	8202	14902
355	8250	14925
356	8295	14941
357	8348	14971
358	8396	14992
359	8437	14999
360	8483	15015
361	8533	15039
362	8575	15048
363	8617	15057
364	8663	15071
365	8717	15101
366	8763	15114
367	8814	15137
368	8859	15150
369	8882	15124
370	8905	15098
371	8926	15070
372	8949	15044
373	8973	15019
374	8995	14992
375	9020	14969
376	9042	14942
377	9065	14917
378	9087	14890
379	9108	14861
380	9131	14835
381	9151	14805
382	9171	14774
383	9192	14746
384	9216	14722
385	9238	14696
386	9259	14667
387	9279	14636
388	9299	14606
389	9320	14577
390	9340	14548
391	9362	14521
392	9385	14495
393	9408	14470
394	9430	14443
395	9452	14416
396	9474	14390
397	9497	14365
398	9518	14337
399	9539	14309
400	9560	14281
401	9580	14251
402	9599	14220
403	9620	14192
404	9640	14163
405	9659	14133
406	9680	14104
407	9701	14077
408	9722	14049
409	9744	14023
410	9764	13993
411	9785	13966
412	9807	13938
413	9828	13911
414	9850	13885
415	9871	13858
416	9891	13828
417	9911	13799
418	9930	13769
419	9949	13740
420	9969	13710
421	9988	13680
422	10009	13654
423	10030	13626
424	10053	13601
425	10075	13576
426	10099	13552
427	10120	13525
428	10142	13500
429	10163	13473
430	10182	13443
